a0	a
aa	a
a1	ā
a-	ā
a2	á
a/	á
a3	ǎ
a_	ǎ
a4	à
a\\	à
a5	a
e0	e
ee	e
e1	ē
e-	ē
e2	é
e/	é
e3	ě
e_	ě
e4	è
e\\	è
e5	e
i0	i
ii	i
i1	ī
i-	ī
i2	í
i/	í
i3	ǐ
i_	ǐ
i4	ì
i\\	ì
i5	i
o0	o
oo	o
o1	ō
o-	ō
o2	ó
o/	ó
o3	ǒ
o_	ǒ
o4	ò
o\\	ò
o5	o
u0	u
uu	u
u1	ū
u-	ū
u2	ú
u/	ú
u3	ǔ
u_	ǔ
u4	ù
u\\	ù
u5	u
v0	ü
vv	ü
v1	ǖ
v-	ǖ
v2	ǘ
v/	ǘ
v3	ǚ
v_	ǚ
v4	ǜ
v\\	ǜ
v5	ü
